Time (s),Pressure (Mpa)
0,0.1434
0.04,0.1434
0.08,2.2945
0.12,6.7879
0.16,11.9385
0.2,60.1945
0.24,84.1432
0.28,100.9695
0.32,110.1116
0.36,112.0237
0.4,112.1551
0.8,108.4624
1.2,105.4629
1.6,102.2362
2,99.165
2.4,96.2132
2.8,93.3331
3.2,90.465
3.6,87.573
4,84.6451
4.4,81.6814
4.8,78.7297
5.2,75.8376
5.6,73.0532
6,70.4121
6.4,67.9623
6.8,65.7037
7.2,63.6601
7.6,61.8317
8,60.2184
8.4,58.7963
8.8,57.5295
9.2,56.4062
9.6,55.4143
10,54.518
10.4,53.7054
10.8,52.9884
11.2,52.343
11.6,51.7336
12,51.2197
12.4,50.7058
12.8,50.2637
13.2,49.8573
13.6,49.4749
14,49.1284
14.4,48.8057
14.8,48.5189
15.2,48.244
15.6,47.9931
16,47.766
16.4,47.5628
16.8,47.3597
17.2,47.1804
17.6,47.0131
18,46.8697
18.4,46.7144
18.8,46.5829
19.2,46.4515
19.6,46.3439
20,46.2364
20.4,46.1288
20.8,46.0451
21.2,45.9495
21.6,45.8659
22,45.7942
